Year,Value
2012,0.001
2013,0.001
2014,0.001
2015,0.001
2016,0.0010049999999999998
2017,0.00103
2018,0.001035
2019,0.00106
2020,0.001085
2021,0.00109
2022,0.0011149999999999999
2023,0.001155
2024,0.0011799999999999998
2025,0.0012050000000000001
2026,0.0012250000000000002
2027,0.00125
2028,0.0012749999999999999
2029,0.0013
2030,0.001325
2031,0.00135
2032,0.001375
2033,0.0014
2034,0.0014299999999999998
2035,0.0014550000000000001
2036,0.001485
2037,0.00151
2038,0.0015400000000000001
2039,0.00157
2040,0.0016
2041,0.00163
2042,0.00166
2043,0.0016899999999999999
2044,0.0017250000000000002
2045,0.0017549999999999998
2046,0.0017900000000000001
2047,0.001825
2048,0.00186
2049,0.001895
2050,0.0019299999999999999
2051,0.001965
2052,0.002005
2053,0.002045
2054,0.0020800000000000003
