Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,1,1,37.2,50.1,49.0,57.4,57.6,50.9,51.5,58.9,55.7,40.6,46.6,38.3,42.4,49.1,56.9,38.8,52.5,69.1,60.3,59.1,53.8,45.5,43.5,48.5
2012,1,2,42.8,41.5,21.2,30.5,34.9,39.7,36.9,29.1,18.9,8.7,6.1,8.6,10.1,13.9,18.1,21.9,40.7,61.5,70.3,76.3,81.0,85.8,83.2,79.6
2012,1,3,87.4,93.6,81.7,73.5,79.8,76.6,87.9,94.2,87.2,70.2,57.4,62.7,72.3,76.4,76.0,57.4,41.5,59.9,77.1,75.5,60.7,52.7,35.9,37.2
2012,1,4,52.7,72.4,63.6,52.7,53.6,58.4,59.9,72.8,66.1,55.7,56.1,49.5,45.2,43.2,41.8,40.1,36.2,39.6,38.6,33.4,28.2,26.5,22.3,21.9
2012,1,5,16.9,14.9,8.0,8.7,9.5,7.5,4.8,1.9,0.6,0.2,0.1,0.1,0.4,1.0,3.4,6.6,11.1,20.8,26.0,38.3,46.4,58.6,79.6,77.9
2012,1,6,84.1,90.8,91.6,82.9,77.2,91.4,95.4,90.8,89.0,91.4,91.6,88.2,78.3,68.9,68.2,55.9,39.5,40.3,24.0,14.4,6.7,2.4,7.2,23.5
2012,1,7,43.8,62.9,72.6,73.7,82.1,84.3,90.3,75.2,67.4,54.3,43.8,40.4,39.8,43.0,49.7,50.2,64.1,76.4,82.7,79.2,83.6,90.9,91.1,87.8
2012,1,8,64.4,52.3,41.4,36.9,23.7,12.4,4.5,5.6,2.4,0.2,0.1,0.0,0.1,0.1,0.1,0.8,1.8,2.3,9.9,17.7,30.4,43.8,56.1,64.1
2012,1,9,70.1,80.3,83.7,75.1,73.3,69.3,68.5,64.7,44.4,23.5,23.7,32.5,34.3,44.1,38.0,33.7,45.0,48.2,48.7,39.2,74.3,73.4,61.5,73.6
2012,1,10,60.5,74.3,77.2,69.4,78.8,46.4,33.9,66.3,79.5,65.1,48.7,45.4,41.5,38.0,38.3,36.6,26.9,31.4,28.5,19.2,10.5,7.1,2.6,0.7
2012,1,11,0.4,1.4,3.6,8.8,12.8,17.7,18.9,16.2,8.3,2.3,1.3,0.8,0.5,1.5,2.5,3.3,6.8,13.1,28.5,37.4,47.8,51.9,56.7,58.4
2012,1,12,59.0,55.5,52.5,51.0,58.6,61.0,52.6,37.3,13.4,4.2,2.4,3.3,5.1,11.7,30.8,54.1,73.7,88.5,80.1,84.1,78.0,73.3,59.7,61.6
2012,1,13,62.1,45.7,45.8,44.3,30.9,24.1,5.3,4.1,0.5,0.7,3.4,3.9,7.0,15.3,20.0,21.0,20.9,27.0,44.2,53.1,58.2,51.2,51.2,53.8
2012,1,14,59.8,63.9,63.2,60.0,48.2,33.9,22.8,22.1,6.1,1.3,0.9,0.1,0.0,0.0,0.3,1.0,7.6,17.5,27.0,38.3,39.8,35.3,34.1,31.8
