Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,1,1,4835,4608,4461,4461,4511,4716,5010,5285,5504,5850,5939,6038,5907,5726,5560,5488,5600,6161,6805,6893,6757,6484,5989,5424
2012,1,2,4897,4712,4642,4677,5038,5742,6844,7273,7128,7342,7413,7351,7283,7192,7071,7086,7048,7542,8200,8100,7681,7227,6392,5742
2012,1,3,5218,4990,4899,4940,5231,6007,7054,7370,7299,7389,7411,7325,7089,6948,6692,6673,6760,7343,7941,7930,7671,7227,6520,5928
2012,1,4,5403,5201,5154,5190,5533,6349,7525,7737,7520,7484,7532,7341,7028,6972,6787,6854,6959,7384,7930,7795,7467,6936,6173,5475
2012,1,5,4904,4692,4632,4668,4953,5739,6764,7050,7098,7350,7456,7443,7307,7287,7087,7146,7209,7708,8238,8165,7823,7316,6613,6006
2012,1,6,5335,5084,4974,5013,5267,5978,6903,7165,7152,7283,7448,7441,7190,7086,6996,7003,7054,7433,7898,7723,7366,7004,6452,5794
2012,1,7,5092,4821,4649,4595,4648,4827,5194,5692,6010,6331,6393,6361,6160,5985,5786,5701,5692,6080,6702,6678,6551,6283,5854,5391
2012,1,8,4880,4670,4512,4494,4549,4756,5021,5295,5528,5864,5951,6072,5952,5797,5678,5623,5701,6161,6783,6848,6669,6357,5862,5292
2012,1,9,4890,4710,4665,4712,5072,5767,6781,7158,7019,7215,7272,7188,7082,6953,6858,6857,6819,7221,7855,7747,7321,6835,6037,5385
2012,1,10,4876,4647,4549,4568,4868,5674,6808,7109,7026,7119,7176,7128,6965,6865,6673,6679,6716,7170,7756,7714,7418,6944,6220,5606
2012,1,11,5226,5023,4990,5014,5331,6174,7393,7620,7369,7342,7420,7246,6965,6891,6760,6822,6924,7284,7808,7644,7322,6792,6004,5317
2012,1,12,4750,4531,4462,4479,4767,5577,6718,7012,6983,7171,7316,7305,7192,7211,7106,7207,7235,7612,8134,8092,7752,7186,6449,5783
