Year,Month,Day,Period,1
2012,1,1,1,0.651729841
2012,1,1,2,0.621772278
2012,1,1,3,0.602361
2012,1,1,4,0.602361
2012,1,1,5,0.608933323
2012,1,1,6,0.636139681
2012,1,1,7,0.674809392
2012,1,1,8,0.711186433
2012,1,1,9,0.739921239
2012,1,1,10,0.785010428
2012,1,1,11,0.796473781
2012,1,1,12,0.809312737
2012,1,1,13,0.792346974
2012,1,1,14,0.768808889
2012,1,1,15,0.74710494
2012,1,1,16,0.737781413
2012,1,1,17,0.752454505
2012,1,1,18,0.825208586
2012,1,1,19,0.907286195
2012,1,1,20,0.918291014
2012,1,1,21,0.901172407
2012,1,1,22,0.866782347
2012,1,1,23,0.802893259
2012,1,1,24,0.729374954
2012,1,2,1,0.659983455
2012,1,2,2,0.635528302
2012,1,2,3,0.626357619
2012,1,2,4,0.630942961
2012,1,2,5,0.67863051
2012,1,2,6,0.770948715
2012,1,2,7,0.912177226
2012,1,2,8,0.966131409
2012,1,2,9,0.947790043
2012,1,2,10,0.974843557
2012,1,2,11,0.98370855
2012,1,2,12,0.97591347
2012,1,2,13,0.967354166
2012,1,2,14,0.955890813
2012,1,2,15,0.940606342
2012,1,2,16,0.942440479
2012,1,2,17,0.937702293
2012,1,2,18,1.000062934
2012,1,2,19,1.084738903
2012,1,2,20,1.071747103
2012,1,2,21,1.017945765
2012,1,2,22,0.96032331
2012,1,2,23,0.855013305
2012,1,2,24,0.770948715
2012,1,3,1,0.70232144
2012,1,3,2,0.672211032
2012,1,3,3,0.660289145
2012,1,3,4,0.66563871
2012,1,3,5,0.704002732
2012,1,3,6,0.805338774
2012,1,3,7,0.938466516
2012,1,3,8,0.978358985
2012,1,3,9,0.969341147
2012,1,3,10,0.980651656
2012,1,3,11,0.983402861
2012,1,3,12,0.972703731
2012,1,3,13,0.942899013
2012,1,3,14,0.925169026
2012,1,3,15,0.893224482
2012,1,3,16,0.890778967
2012,1,3,17,0.901630941
2012,1,3,18,0.974843557
2012,1,3,19,1.051265912
2012,1,3,20,1.049890309
2012,1,3,21,1.016570163
2012,1,3,22,0.96032331
2012,1,3,23,0.871367689
2012,1,3,24,0.795098179
2012,1,4,1,0.726623749
2012,1,4,2,0.700028769
2012,1,4,3,0.693914981
2012,1,4,4,0.698653167
2012,1,4,5,0.743589512
2012,1,4,6,0.849510895
2012,1,4,7,0.997923108
2012,1,4,8,1.024976622
2012,1,4,9,0.997311729
2012,1,4,10,0.992726388
2012,1,4,11,0.998840176
2012,1,4,12,0.974690712
2012,1,4,13,0.935256777
2012,1,4,14,0.928225921
2012,1,4,15,0.904993525
2012,1,4,16,0.913399984
2012,1,4,17,0.926544629
2012,1,4,18,0.980040277
2012,1,4,19,1.049890309
2012,1,4,20,1.032466012
2012,1,4,21,0.990586562
2012,1,4,22,0.923640579
2012,1,4,23,0.826737034
2012,1,4,24,0.736100121
2012,1,5,1,0.660900524
2012,1,5,2,0.632929942
2012,1,5,3,0.624982017
2012,1,5,4,0.629720203
2012,1,5,5,0.667320002
2012,1,5,6,0.77049018
2012,1,5,7,0.902089475
2012,1,5,8,0.938007982
2012,1,5,9,0.943968926
2012,1,5,10,0.975760625
2012,1,5,11,0.98921096
2012,1,5,12,0.987529668
2012,1,5,13,0.97041106
2012,1,5,14,0.9678127
2012,1,5,15,0.942593323
2012,1,5,16,0.950082714
2012,1,5,17,0.958030639
2012,1,5,18,1.021308349
2012,1,5,19,1.089629934
2012,1,5,20,1.080153562
2012,1,5,21,1.036134285
2012,1,5,22,0.971480973
2012,1,5,23,0.883289576
2012,1,5,24,0.805185929
2012,1,6,1,0.717758756
2012,1,6,2,0.684591454
2012,1,6,3,0.670071206
2012,1,6,4,0.675267926
2012,1,6,5,0.708740918
2012,1,6,6,0.801517656
2012,1,6,7,0.919513772
2012,1,6,8,0.952528229
2012,1,6,9,0.950846938
2012,1,6,10,0.967354166
2012,1,6,11,0.988141047
2012,1,6,12,0.987223978
2012,1,6,13,0.955585124
2012,1,6,14,0.942440479
2012,1,6,15,0.931282815
2012,1,6,16,0.932047038
2012,1,6,17,0.938466516
2012,1,6,18,0.98630691
2012,1,6,19,1.045763502
2012,1,6,20,1.02329533
2012,1,6,21,0.977900451
2012,1,6,22,0.932199883
2012,1,6,23,0.86265554
2012,1,6,24,0.777673882
2012,1,7,1,0.685661367
2012,1,7,2,0.649895705
2012,1,7,3,0.627274688
2012,1,7,4,0.620090986
2012,1,7,5,0.627121843
2012,1,7,6,0.650659928
2012,1,7,7,0.699111701
2012,1,7,8,0.764376392
2012,1,7,9,0.805644464
2012,1,7,10,0.84706538
2012,1,7,11,0.855166149
2012,1,7,12,0.851039342
2012,1,7,13,0.825055742
2012,1,7,14,0.802434725
2012,1,7,15,0.776603969
2012,1,7,16,0.76559915
2012,1,7,17,0.764376392
2012,1,7,18,0.814662301
2012,1,7,19,0.89444724
2012,1,7,20,0.891390346
2012,1,7,21,0.875341651
2012,1,7,22,0.840951591
2012,1,7,23,0.785468962
2012,1,7,24,0.725095302
2012,1,8,1,0.657690785
2012,1,8,2,0.630025892
2012,1,8,3,0.609086167
2012,1,8,4,0.606793497
2012,1,8,5,0.613977198
2012,1,8,6,0.641336401
2012,1,8,7,0.676337839
2012,1,8,8,0.712409191
2012,1,8,9,0.742978133
2012,1,8,10,0.78669172
2012,1,8,11,0.798002228
