Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,1,1,1208,1197,1191,1210,1224,1258,1258,1298,1360,1344,1309,1255,1227,1170,1132,1091,1089,1137,1278,1352,1372,1378,1323,1270
2012,1,2,1210,1197,1204,1231,1268,1373,1495,1547,1490,1438,1397,1350,1299,1255,1195,1157,1195,1229,1357,1416,1455,1433,1352,1260
2012,1,3,1265,1255,1266,1297,1326,1418,1513,1556,1487,1447,1410,1346,1273,1218,1157,1110,1114,1190,1344,1416,1458,1427,1357,1271
2012,1,4,1260,1255,1265,1295,1321,1416,1524,1561,1475,1430,1389,1342,1278,1231,1182,1158,1175,1239,1364,1410,1438,1408,1347,1265
2012,1,5,1209,1198,1215,1251,1283,1387,1490,1538,1475,1450,1427,1382,1321,1282,1227,1195,1217,1280,1405,1466,1503,1484,1416,1336
2012,1,6,1244,1225,1236,1239,1255,1339,1425,1486,1429,1400,1362,1328,1278,1250,1208,1177,1183,1191,1287,1320,1329,1304,1272,1225
2012,1,7,1239,1220,1218,1227,1239,1278,1285,1328,1337,1341,1329,1273,1225,1175,1117,1076,1080,1116,1208,1263,1283,1275,1241,1202
2012,1,8,1197,1186,1181,1199,1212,1239,1241,1282,1344,1328,1295,1237,1210,1157,1125,1087,1085,1125,1248,1313,1329,1334,1278,1224
2012,1,9,1188,1171,1179,1208,1243,1334,1441,1490,1433,1389,1351,1307,1258,1209,1154,1117,1152,1180,1302,1355,1390,1368,1295,1199
2012,1,10,1199,1180,1188,1217,1253,1352,1469,1513,1430,1396,1357,1304,1243,1202,1152,1116,1134,1201,1334,1397,1439,1404,1326,1234
2012,1,11,1227,1215,1224,1251,1278,1376,1495,1528,1440,1397,1354,1302,1248,1208,1166,1147,1166,1222,1328,1375,1404,1370,1307,1220
2012,1,12,1170,1157,1173,1208,1244,1352,1477,1530,1450,1422,1394,1354,1298,1270,1218,1191,1220,1282,1394,1452,1492,1466,1394,1307
2012,1,13,1225,1204,1219,1224,1241,1331,1435,1496,1427,1394,1360,1329,1282,1265,1227,1199,1206,1206,1293,1329,1334,1307,1275,1222
2012,1,14,1244,1227,1229,1237,1250,1292,1303,1347,1364,1372,1352,1292,1239,1199,1145,1104,1106,1143,1224,1273,1297,1290,1257,1211
2012,1,15,1195,1186,1180,1197,1211,1234,1241,1277,1329,1315,1277,1211,1179,1130,1108,1073,1070,1108,1220,1290,1305,1303,1246,1182
2012,1,16,1143,1123,1126,1157,1197,1290,1405,1450,1382,1336,1302,1262,1217,1173,1126,1093,1128,1159,1273,1326,1355,1332,1263,1171
2012,1,17,1165,1150,1163,1195,1234,1334,1458,1499,1413,1384,1347,1298,1246,1217,1168,1139,1163,1231,1347,1410,1460,1430,1352,1268
2012,1,18,1237,1229,1239,1265,1290,1381,1495,1525,1435,1394,1347,1285,1229,1186,1143,1123,1147,1201,1297,1355,1387,1357,1295,1211
2012,1,19,1193,1179,1193,1224,1257,1357,1480,1524,1438,1411,1379,1336,1281,1253,1204,1179,1212,1277,1383,1449,1490,1463,1392,1307
2012,1,20,1224,1210,1224,1231,1251,1342,1452,1509,1429,1391,1352,1311,1260,1245,1206,1175,1180,1189,1282,1326,1339,1316,1285,1236
2012,1,21,1246,1229,1227,1239,1251,1293,1308,1349,1355,1354,1323,1255,1200,1159,1114,1076,1080,1114,1179,1227,1250,1243,1202,1158
2012,1,22,1157,1141,1129,1141,1155,1173,1186,1216,1263,1258,1223,1163,1131,1089,1074,1048,1048,1074,1170,1237,1256,1255,1204,1135
2012,1,23,1093,1069,1071,1094,1138,1223,1347,1391,1318,1287,1256,1215,1177,1141,1093,1065,1093,1119,1217,1278,1307,1281,1204,1110
2012,1,24,1117,1100,1104,1127,1166,1266,1386,1421,1336,1331,1307,1273,1232,1215,1170,1150,1183,1258,1364,1429,1475,1449,1372,1293
2012,1,25,1225,1218,1234,1251,1280,1364,1460,1486,1399,1376,1329,1270,1222,1191,1145,1129,1150,1208,1288,1357,1392,1359,1288,1204
2012,1,26,1202,1183,1193,1217,1251,1341,1455,1495,1408,1390,1359,1318,1267,1238,1193,1171,1206,1268,1360,1432,1467,1433,1357,1271
