Year,Month,Day,Period,1
2012,1,1,1,0.984337588
2012,1,1,2,0.977811593
2012,1,1,3,0.974548595
2012,1,1,4,0.985425253
2012,1,1,5,0.99412658
2012,1,1,6,1.015879897
2012,1,1,7,1.015879897
2012,1,1,8,1.041983877
2012,1,1,9,1.083315179
2012,1,1,10,1.072438521
2012,1,1,11,1.048509872
2012,1,1,12,1.013704565
2012,1,1,13,0.996301912
2012,1,1,14,0.961496605
2012,1,1,15,0.938655622
2012,1,1,16,0.914726974
2012,1,1,17,0.913639308
2012,1,1,18,0.94191862
2012,1,1,19,1.028931887
2012,1,1,20,1.07787685
2012,1,1,21,1.09092884
2012,1,1,22,1.095279504
2012,1,1,23,1.058298865
2012,1,1,24,1.023493558
2012,1,2,1,0.985425253
2012,1,2,2,0.977811593
2012,1,2,3,0.982162256
2012,1,2,4,0.998477244
2012,1,2,5,1.022405892
2012,1,2,6,1.092016506
2012,1,2,7,1.176854442
2012,1,2,8,1.214922746
2012,1,2,9,1.173591444
2012,1,2,10,1.136610806
2012,1,2,11,1.108331494
2012,1,2,12,1.076789184
2012,1,2,13,1.041983877
2012,1,2,14,1.013704565
2012,1,2,15,0.976723927
2012,1,2,16,0.953882944
2012,1,2,17,0.976723927
2012,1,2,18,0.997389578
2012,1,2,19,1.081139848
2012,1,2,20,1.121383484
2012,1,2,21,1.14857513
2012,1,2,22,1.133347808
2012,1,2,23,1.07787685
2012,1,2,24,1.016967563
2012,1,3,1,1.02023056
2012,1,3,2,1.013704565
2012,1,3,3,1.021318226
2012,1,3,4,1.040896211
2012,1,3,5,1.060474197
2012,1,3,6,1.12247115
2012,1,3,7,1.189906432
2012,1,3,8,1.221448741
2012,1,3,9,1.171416112
2012,1,3,10,1.143136801
2012,1,3,11,1.11703282
2012,1,3,12,1.073526187
2012,1,3,13,1.02566889
2012,1,3,14,0.990863583
2012,1,3,15,0.953882944
2012,1,3,16,0.925603632
2012,1,3,17,0.927778964
2012,1,3,18,0.973460929
2012,1,3,19,1.072438521
2012,1,3,20,1.121383484
2012,1,3,21,1.150750461
2012,1,3,22,1.128997145
2012,1,3,23,1.081139848
2012,1,3,24,1.024581224
2012,1,4,1,1.016967563
2012,1,4,2,1.013704565
2012,1,4,3,1.02023056
2012,1,4,4,1.039808546
2012,1,4,5,1.057211199
2012,1,4,6,1.121383484
2012,1,4,7,1.197520093
2012,1,4,8,1.224711739
2012,1,4,9,1.162714786
2012,1,4,10,1.131172476
2012,1,4,11,1.102893164
2012,1,4,12,1.071350855
2012,1,4,13,1.028931887
2012,1,4,14,0.998477244
2012,1,4,15,0.969110266
2012,1,4,16,0.953882944
2012,1,4,17,0.964759602
2012,1,4,18,1.003915573
2012,1,4,19,1.085490511
2012,1,4,20,1.11703282
2012,1,4,21,1.136610806
2012,1,4,22,1.115945155
2012,1,4,23,1.074613853
2012,1,4,24,1.02023056
2012,1,5,1,0.985425253
2012,1,5,2,0.978899258
2012,1,5,3,0.988688251
2012,1,5,4,1.011529234
2012,1,5,5,1.032194885
2012,1,5,6,1.101805499
2012,1,5,7,1.173591444
2012,1,5,8,1.208396751
