Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2012,1,1,10243,9946,9905,10082,10463,11093,12010,12698,13030,12675,12054,11345,10732,10095,9482,9165,9276,10829,12703,13102,13143,12804,11944,10989
2012,1,2,9741,9518,9610,9949,10609,12245,14532,15578,15169,14688,14250,13766,13141,12715,12242,11917,12108,13272,14405,14417,14336,13643,12359,11041
2012,1,3,10534,10309,10412,10808,11472,12944,15165,16032,15155,14409,13725,12889,12095,11378,10742,10244,10389,11733,13577,13862,13988,13524,12350,11130
2012,1,4,10618,10442,10519,10881,11556,13046,15360,16290,15315,14526,13774,13046,12376,11755,11204,10790,10978,12023,13349,13368,13321,12799,11541,10189
2012,1,5,9896,9790,9985,10523,11320,12894,15226,16245,15530,15015,14590,13944,13278,12752,12265,11865,12053,13203,14632,14799,14791,14295,13226,12052
2012,1,6,10638,10412,10419,10640,11165,12449,14461,15344,14736,14163,13539,12801,12181,11614,11081,10700,10684,11531,12474,12279,12140,11692,10907,10031
2012,1,7,9645,9220,9085,9218,9489,10266,11280,11984,12328,12345,12152,11540,10686,9791,9115,8830,8881,10080,11646,11764,11779,11589,10998,10314
2012,1,8,9834,9527,9496,9637,9967,10564,11501,12255,12639,12317,11731,11093,10554,10050,9495,9209,9269,10524,12183,12488,12410,11990,11030,9976
2012,1,9,9304,9065,9131,9422,10032,11611,13782,14859,14546,14175,13773,13321,12680,12193,11650,11276,11386,12443,13618,13628,13527,12862,11535,10202
2012,1,10,9313,9037,9074,9429,10137,11757,14251,15241,14421,13802,13273,12637,12030,11506,10976,10542,10702,11819,13521,13716,13788,13294,12042,10755
2012,1,11,10057,9842,9895,10266,10961,12519,14944,15866,14889,14107,13363,12649,12007,11441,10933,10562,10733,11635,12966,12943,12845,12286,10961,9553
2012,1,12,9125,8954,9053,9522,10333,12033,14697,15836,15055,14538,14122,13589,13070,12685,12267,11878,12067,13013,14412,14528,14479,13951,12785,11512
2012,1,13,10666,10410,10435,10680,11256,12608,14858,15851,15142,14588,14020,13327,12811,12355,11867,11522,11514,12181,13038,12829,12667,12160,11318,10402
