Year,Month,Day,Period,1
2012,1,1,1,0.916266431
2012,1,1,2,0.900025372
2012,1,1,3,0.897950126
2012,1,1,4,0.907514305
2012,1,1,5,0.928176542
2012,1,1,6,0.963816644
2012,1,1,7,1.016960999
2012,1,1,8,1.058465929
2012,1,1,9,1.079308622
2012,1,1,10,1.057022279
2012,1,1,11,1.019667843
2012,1,1,12,0.977982457
2012,1,1,13,0.943064179
2012,1,1,14,0.908145902
2012,1,1,15,0.874941958
2012,1,1,16,0.857527933
2012,1,1,17,0.863663445
2012,1,1,18,0.94874855
2012,1,1,19,1.058826841
2012,1,1,20,1.083639571
2012,1,1,21,1.086256186
2012,1,1,22,1.065233037
2012,1,1,23,1.013081191
2012,1,1,24,0.957771361
2012,1,2,1,0.889017543
2012,1,2,2,0.876836748
2012,1,2,3,0.881979751
2012,1,2,4,0.900205828
2012,1,2,5,0.936297071
2012,1,2,6,1.031036584
2012,1,2,7,1.178018171
2012,1,2,8,1.250290885
2012,1,2,9,1.221778803
2012,1,2,10,1.188213947
2012,1,2,11,1.158889812
2012,1,2,12,1.127039291
2012,1,2,13,1.086165958
2012,1,2,14,1.059638894
2012,1,2,15,1.030856128
2012,1,2,16,1.011366857
2012,1,2,17,1.023006283
2012,1,2,18,1.0946474
2012,1,2,19,1.169446501
2012,1,2,20,1.170258554
2012,1,2,21,1.164664411
2012,1,2,22,1.119008989
2012,1,2,23,1.037713464
2012,1,2,24,0.960839117
2012,1,3,1,0.932236806
2012,1,3,2,0.919875556
2012,1,3,3,0.925289242
2012,1,3,4,0.947575585
2012,1,3,5,0.985651846
2012,1,3,6,1.07416562
2012,1,3,7,1.221508119
2012,1,3,8,1.281780495
2012,1,3,9,1.220786294
2012,1,3,10,1.169717185
2012,1,3,11,1.124422675
2012,1,3,12,1.070646723
2012,1,3,13,1.02219423
2012,1,3,14,0.979967475
2012,1,3,15,0.943605548
2012,1,3,16,0.916266431
2012,1,3,17,0.924116277
2012,1,3,18,1.000359028
2012,1,3,19,1.114768268
2012,1,3,20,1.133445486
2012,1,3,21,1.141566016
2012,1,3,22,1.111429828
2012,1,3,23,1.037172095
2012,1,3,24,0.965891891
2012,1,4,1,0.936748212
2012,1,4,2,0.927003576
2012,1,4,3,0.931424754
2012,1,4,4,0.951726078
2012,1,4,5,0.990163251
2012,1,4,6,1.080301131
2012,1,4,7,1.235132563
2012,1,4,8,1.299826116
2012,1,4,9,1.23197458
2012,1,4,10,1.177657259
2012,1,4,11,1.127580659
2012,1,4,12,1.080301131
2012,1,4,13,1.038705973
2012,1,4,14,1.001712449
2012,1,4,15,0.970042384
2012,1,4,16,0.946583076
2012,1,4,17,0.957229992
2012,1,4,18,1.01786328
2012,1,4,19,1.099700174
2012,1,4,20,1.100873139
2012,1,4,21,1.097895612
2012,1,4,22,1.064872124
2012,1,4,23,0.989441427
2012,1,4,24,0.913379132
2012,1,5,1,0.897589213
2012,1,5,2,0.891724386
2012,1,5,3,0.901920162
2012,1,5,4,0.93160521
2012,1,5,5,0.976538807
2012,1,5,6,1.071007636
2012,1,5,7,1.22574884
2012,1,5,8,1.296668133
2012,1,5,9,1.246952445
2012,1,5,10,1.210680746
2012,1,5,11,1.181627296
2012,1,5,12,1.138768945
2012,1,5,13,1.094918084
2012,1,5,14,1.061984825
2012,1,5,15,1.032119321
2012,1,5,16,1.008299101
2012,1,5,17,1.019577615
2012,1,5,18,1.090226223
2012,1,5,19,1.184514595
2012,1,5,20,1.195612652
2012,1,5,21,1.195071284
2012,1,5,22,1.161957568
2012,1,5,23,1.091760101
2012,1,5,24,1.019577615
2012,1,6,1,0.937830949
2012,1,6,2,0.925289242
2012,1,6,3,0.925650155
2012,1,6,4,0.937921177
2012,1,6,5,0.967786681
2012,1,6,6,1.043217379
2012,1,6,7,1.173236082
2012,1,6,8,1.23386937
2012,1,6,9,1.191281703
2012,1,6,10,1.153385898
2012,1,6,11,1.112422337
2012,1,6,12,1.065052581
2012,1,6,13,1.027156776
2012,1,6,14,0.99359192
2012,1,6,15,0.963004591
2012,1,6,16,0.941259617
2012,1,6,17,0.940447564
2012,1,6,18,0.988900058
2012,1,6,19,1.044751257
2012,1,6,20,1.032931374
2012,1,6,21,1.024901073
2012,1,6,22,0.997742413
2012,1,6,23,0.953079499
2012,1,6,24,0.904446549
2012,1,7,1,0.883603857
2012,1,7,2,0.860595689
2012,1,7,3,0.853106756
2012,1,7,4,0.860505461
2012,1,7,5,0.875302871
2012,1,7,6,0.917439397
2012,1,7,7,0.974192876
2012,1,7,8,1.015336893
2012,1,7,9,1.035818674
2012,1,7,10,1.036901411
2012,1,7,11,1.025442442
2012,1,7,12,0.989351199
2012,1,7,13,0.940537792
2012,1,7,14,0.891814614
2012,1,7,15,0.85482109
2012,1,7,16,0.836955925
2012,1,7,17,0.840113909
2012,1,7,18,0.907333849
2012,1,7,19,0.995396482
2012,1,7,20,1.00216359
2012,1,7,21,1.002975643
2012,1,7,22,0.992058042
2012,1,7,23,0.958402958
2012,1,7,24,0.92014624
2012,1,8,1,0.894160545
2012,1,8,2,0.877197661
2012,1,8,3,0.875663783
2012,1,8,4,0.883152716
2012,1,8,5,0.901108109
2012,1,8,6,0.933860912
2012,1,8,7,0.987185724
2012,1,8,8,1.031577953
2012,1,8,9,1.054766576
2012,1,8,10,1.035096849
2012,1,8,11,1.0002688
2012,1,8,12,0.963816644
2012,1,8,13,0.933319544
2012,1,8,14,0.905529287
2012,1,8,15,0.875573555
2012,1,8,16,0.859964092
2012,1,8,17,0.86339276
2012,1,8,18,0.931695438
2012,1,8,19,1.027247004
2012,1,8,20,1.045653538
2012,1,8,21,1.040871448
2012,1,8,22,1.015697806
2012,1,8,23,0.96020752
2012,1,8,24,0.90155925
2012,1,9,1,0.865287551
2012,1,9,2,0.851843563
2012,1,9,3,0.855723371
2012,1,9,4,0.871603518
2012,1,9,5,0.904446549
2012,1,9,6,0.993411463
2012,1,9,7,1.128122028
2012,1,9,8,1.199763145
2012,1,9,9,1.178920452
2012,1,9,10,1.154107723
2012,1,9,11,1.127490431
2012,1,9,12,1.097895612
2012,1,9,13,1.057292963
2012,1,9,14,1.027788372
2012,1,9,15,0.995667166
2012,1,9,16,0.973922192
2012,1,9,17,0.980508844
2012,1,9,18,1.042856466
2012,1,9,19,1.117565339
2012,1,9,20,1.118106708
2012,1,9,21,1.111610284
2012,1,9,22,1.068932389
2012,1,9,23,0.989080514
2012,1,9,24,0.914010729
2012,1,10,1,0.865738691
2012,1,10,2,0.850039001
2012,1,10,3,0.852384931
2012,1,10,4,0.872054659
2012,1,10,5,0.910491833
2012,1,10,6,1.001802677
2012,1,10,7,1.158980041
2012,1,10,8,1.226921806
2012,1,10,9,1.17043901
2012,1,10,10,1.129475449
2012,1,10,11,1.0946474
2012,1,10,12,1.054676348
2012,1,10,13,1.018314421
2012,1,10,14,0.987456408
2012,1,10,15,0.957049536
2012,1,10,16,0.932687947
2012,1,10,17,0.941349845
2012,1,10,18,1.005592258
2012,1,10,19,1.111249372
2012,1,10,20,1.123791079
2012,1,10,21,1.12848294
2012,1,10,22,1.096000822
2012,1,10,23,1.018946018
2012,1,10,24,0.944507829
2012,1,11,1,0.905980427
2012,1,11,2,0.894521458
2012,1,11,3,0.897498985
2012,1,11,4,0.917439397
2012,1,11,5,0.956147255
2012,1,11,6,1.047638556
2012,1,11,7,1.205627972
2012,1,11,8,1.270321525
2012,1,11,9,1.201657935
2012,1,11,10,1.149596317
2012,1,11,11,1.100602455
2012,1,11,12,1.055307945
2012,1,11,13,1.016690315
2012,1,11,14,0.983757056
2012,1,11,15,0.954432921
2012,1,11,16,0.933680456
2012,1,11,17,0.943154407
2012,1,11,18,0.994855113
2012,1,11,19,1.075519041
2012,1,11,20,1.074075391
2012,1,11,21,1.067849652
2012,1,11,22,1.033382515
2012,1,11,23,0.956147255
2012,1,11,24,0.878821767
2012,1,12,1,0.855362459
2012,1,12,2,0.844895998
