Year,Month,Day,Period,1
2012,1,1,1,0.835030566
2012,1,1,2,0.815949892
2012,1,1,3,0.811598159
2012,1,1,4,0.814276148
2012,1,1,5,0.828837716
2012,1,1,6,0.859634594
2012,1,1,7,0.900808681
2012,1,1,8,0.942987013
2012,1,1,9,0.966586795
2012,1,1,10,0.966921544
2012,1,1,11,0.947003998
2012,1,1,12,0.918048237
2012,1,1,13,0.892439964
2012,1,1,14,0.861643086
2012,1,1,15,0.837039058
2012,1,1,16,0.824151234
2012,1,1,17,0.829339839
2012,1,1,18,0.889259851
2012,1,1,19,0.996546801
2012,1,1,20,1.027678428
2012,1,1,21,1.027845802
2012,1,1,22,1.00692401
2012,1,1,23,0.956711709
2012,1,1,24,0.898298065
2012,1,2,1,0.832352577
2012,1,2,2,0.819966876
2012,1,2,3,0.819130004
2012,1,2,4,0.832185202
2012,1,2,5,0.870346551
2012,1,2,6,0.960896067
2012,1,2,7,1.101657885
2012,1,2,8,1.146012084
2012,1,2,9,1.113876211
2012,1,2,10,1.09144805
2012,1,2,11,1.071865253
2012,1,2,12,1.046759102
2012,1,2,13,1.022489823
2012,1,2,14,0.997048924
2012,1,2,15,0.971608025
2012,1,2,16,0.960561319
2012,1,2,17,0.969432159
2012,1,2,18,1.026339433
2012,1,2,19,1.11303934
2012,1,2,20,1.117725821
2012,1,2,21,1.100821013
2012,1,2,22,1.053119327
2012,1,2,23,0.972444897
2012,1,2,24,0.891603092
2012,1,3,1,0.845073026
2012,1,3,2,0.827666095
2012,1,3,3,0.821640619
2012,1,3,4,0.829507213
2012,1,3,5,0.857793476
2012,1,3,6,0.939472152
2012,1,3,7,1.072032627
2012,1,3,8,1.107515986
2012,1,3,9,1.071530504
2012,1,3,10,1.044917985
2012,1,3,11,1.016799096
2012,1,3,12,0.978805121
2012,1,3,13,0.943489136
2012,1,3,14,0.913863879
2012,1,3,15,0.888590354
2012,1,3,16,0.877543648
2012,1,3,17,0.887753482
2012,1,3,18,0.945665003
2012,1,3,19,1.046256979
2012,1,3,20,1.061990167
2012,1,3,21,1.055462568
2012,1,3,22,1.019309711
2012,1,3,23,0.949514613
2012,1,3,24,0.876037279
2012,1,4,1,0.830344085
2012,1,4,2,0.814945646
2012,1,4,3,0.812100282
2012,1,4,4,0.822477491
2012,1,4,5,0.85678923
2012,1,4,6,0.943321762
2012,1,4,7,1.086594194
2012,1,4,8,1.12425342
2012,1,4,9,1.069522012
2012,1,4,10,1.030021669
2012,1,4,11,0.996714176
2012,1,4,12,0.965917298
2012,1,4,13,0.94014165
2012,1,4,14,0.920224104
2012,1,4,15,0.903821419
2012,1,4,16,0.896624322
2012,1,4,17,0.906499408
2012,1,4,18,0.953531597
2012,1,4,19,1.039227257
2012,1,4,20,1.048098097
2012,1,4,21,1.036381893
2012,1,4,22,0.996714176
2012,1,4,23,0.925245334
2012,1,4,24,0.849424759
2012,1,5,1,0.807413801
2012,1,5,2,0.792517485
2012,1,5,3,0.790341618
2012,1,5,4,0.800886201
2012,1,5,5,0.835867438
2012,1,5,6,0.925077959
2012,1,5,7,1.070024135
2012,1,5,8,1.118227944
2012,1,5,9,1.087765815
2012,1,5,10,1.065672402
2012,1,5,11,1.045754856
2012,1,5,12,1.01964446
2012,1,5,13,0.991023448
2012,1,5,14,0.966252046
2012,1,5,15,0.94131327
2012,1,5,16,0.932275056
2012,1,5,17,0.946501874
2012,1,5,18,1.004580769
2012,1,5,19,1.100151516
2012,1,5,20,1.108854981
2012,1,5,21,1.096804029
2012,1,5,22,1.0598143
2012,1,5,23,0.990186576
2012,1,5,24,0.92122835
2012,1,6,1,0.841390791
2012,1,6,2,0.825992352
2012,1,6,3,0.823816486
2012,1,6,4,0.832352577
2012,1,6,5,0.863484203
2012,1,6,6,0.94248489
2012,1,6,7,1.063831285
2012,1,6,8,1.107181238
2012,1,6,9,1.078894975
2012,1,6,10,1.06249229
2012,1,6,11,1.046256979
2012,1,6,12,1.021318203
2012,1,6,13,0.995040432
2012,1,6,14,0.977466127
2012,1,6,15,0.963574057
2012,1,6,16,0.95905495
2012,1,6,17,0.965080426
2012,1,6,18,0.998722668
2012,1,6,19,1.05864268
2012,1,6,20,1.050608712
2012,1,6,21,1.032699658
2012,1,6,22,1.001568031
2012,1,6,23,0.951188356
2012,1,6,24,0.895117953
2012,1,7,1,0.851433251
2012,1,7,2,0.82783347
2012,1,7,3,0.815949892
2012,1,7,4,0.812769779
2012,1,7,5,0.823816486
2012,1,7,6,0.854111241
2012,1,7,7,0.896791696
2012,1,7,8,0.937798409
2012,1,7,9,0.962235062
2012,1,7,10,0.970771153
2012,1,7,11,0.958050704
2012,1,7,12,0.928760195
2012,1,7,13,0.898298065
2012,1,7,14,0.867835936
2012,1,7,15,0.843566657
2012,1,7,16,0.831348331
2012,1,7,17,0.836202187
2012,1,7,18,0.878715268
2012,1,7,19,0.964243554
2012,1,7,20,0.975959758
2012,1,7,21,0.971273276
2012,1,7,22,0.953698971
2012,1,7,23,0.917880863
2012,1,7,24,0.874028787
2012,1,8,1,0.839382299
2012,1,8,2,0.819464753
2012,1,8,3,0.813104528
2012,1,8,4,0.814108774
2012,1,8,5,0.826829224
2012,1,8,6,0.856287107
2012,1,8,7,0.897461194
2012,1,8,8,0.939304778
2012,1,8,9,0.966921544
2012,1,8,10,0.965415175
2012,1,8,11,0.945832377
2012,1,8,12,0.918885109
2012,1,8,13,0.895620076
2012,1,8,14,0.86950968
2012,1,8,15,0.849926882
2012,1,8,16,0.840219171
2012,1,8,17,0.845407775
2012,1,8,18,0.895954825
2012,1,8,19,0.98918233
2012,1,8,20,1.012949486
2012,1,8,21,1.004580769
2012,1,8,22,0.978135624
2012,1,8,23,0.923738965
2012,1,8,24,0.861140963
2012,1,9,1,0.827498721
2012,1,9,2,0.814778271
2012,1,9,3,0.814108774
2012,1,9,4,0.826661849
2012,1,9,5,0.86181046
2012,1,9,6,0.944326008
2012,1,9,7,1.070024135
2012,1,9,8,1.113876211
2012,1,9,9,1.087096317
2012,1,9,10,1.067848269
2012,1,9,11,1.048934969
2012,1,9,12,1.022322449
2012,1,9,13,0.995207806
2012,1,9,14,0.966754169
2012,1,9,15,0.941648019
2012,1,9,16,0.930601312
2012,1,9,17,0.936794163
2012,1,9,18,0.985332721
2012,1,9,19,1.068517766
2012,1,9,20,1.075380114
2012,1,9,21,1.057805808
