Year,Month,Day,Period,1
2012,1,1,1,0.802880284
2012,1,1,2,0.770502774
2012,1,1,3,0.759027201
2012,1,1,4,0.748371311
2012,1,1,5,0.771322458
2012,1,1,6,0.79550313
2012,1,1,7,0.841815264
2012,1,1,8,0.878291194
2012,1,1,9,0.922554119
2012,1,1,10,0.952062736
2012,1,1,11,0.932800167
2012,1,1,12,0.880750245
2012,1,1,13,0.857389257
2012,1,1,14,0.820503486
2012,1,1,15,0.802880284
2012,1,1,16,0.804929493
2012,1,1,17,0.809847596
2012,1,1,18,0.84304479
2012,1,1,19,0.951652894
2012,1,1,20,0.988538665
2012,1,1,21,0.997555187
2012,1,1,22,0.979522143
2012,1,1,23,0.928701747
2012,1,1,24,0.850421944
2012,1,2,1,0.755338623
2012,1,2,2,0.723370955
2012,1,2,3,0.705747753
2012,1,2,4,0.698780441
2012,1,2,5,0.725420165
2012,1,2,6,0.810257438
2012,1,2,7,0.929521431
2012,1,2,8,0.954111945
2012,1,2,9,0.965177677
2012,1,2,10,0.943046214
2012,1,2,11,0.931160799
2012,1,2,12,0.922144277
2012,1,2,13,0.926652538
2012,1,2,14,0.902062024
2012,1,2,15,0.896734079
2012,1,2,16,0.881160087
2012,1,2,17,0.888127399
2012,1,2,18,0.912308071
2012,1,2,19,1.00903076
2012,1,2,20,1.041818112
2012,1,2,21,1.042227954
2012,1,2,22,0.997965029
2012,1,2,23,0.933210008
2012,1,2,24,0.835257794
2012,1,3,1,0.801650758
2012,1,3,2,0.775420877
2012,1,3,3,0.766814197
2012,1,3,4,0.756158307
2012,1,3,5,0.790994869
2012,1,3,6,0.864766411
2012,1,3,7,0.980341827
2012,1,3,8,1.009850444
2012,1,3,9,1.010670128
2012,1,3,10,0.981571353
2012,1,3,11,0.967226886
2012,1,3,12,0.954521787
2012,1,3,13,0.938537953
2012,1,3,14,0.912308071
2012,1,3,15,0.911078546
2012,1,3,16,0.895914395
2012,1,3,17,0.906570285
2012,1,3,18,0.946734791
2012,1,3,19,1.056572421
2012,1,3,20,1.081982618
2012,1,3,21,1.075015306
2012,1,3,22,1.031981907
2012,1,3,23,0.969276096
2012,1,3,24,0.872963249
2012,1,4,1,0.825011747
2012,1,4,2,0.800011391
2012,1,4,3,0.79345392
2012,1,4,4,0.781568505
2012,1,4,5,0.812306648
2012,1,4,6,0.895914395
2012,1,4,7,1.010670128
2012,1,4,8,1.039359061
2012,1,4,9,1.020916175
2012,1,4,10,0.97460404
2012,1,4,11,0.948374159
2012,1,4,12,0.932800167
2012,1,4,13,0.923783645
2012,1,4,14,0.910668704
2012,1,4,15,0.908209652
2012,1,4,16,0.904930917
2012,1,4,17,0.907799811
2012,1,4,18,0.937718269
2012,1,4,19,1.019276808
2012,1,4,20,1.033211432
2012,1,4,21,1.020506333
2012,1,4,22,0.973784357
2012,1,4,23,0.912717913
2012,1,4,24,0.825011747
2012,1,5,1,0.749600837
2012,1,5,2,0.729518584
2012,1,5,3,0.725830007
2012,1,5,4,0.713944591
2012,1,5,5,0.746322102
2012,1,5,6,0.822142853
2012,1,5,7,0.931160799
2012,1,5,8,0.955751313
2012,1,5,9,0.965587519
2012,1,5,10,0.943456056
2012,1,5,11,0.930341115
2012,1,5,12,0.933210008
2012,1,5,13,0.938128111
2012,1,5,14,0.914357281
2012,1,5,15,0.945505265
2012,1,5,16,0.936078902
2012,1,5,17,0.949603684
2012,1,5,18,0.974194198
2012,1,5,19,1.084031828
2012,1,5,20,1.086081037
2012,1,5,21,1.077884199
2012,1,5,22,1.044687005
2012,1,5,23,0.984440246
2012,1,5,24,0.919275384
2012,1,6,1,0.832388901
2012,1,6,2,0.8020606
2012,1,6,3,0.789355501
2012,1,6,4,0.789355501
2012,1,6,5,0.821323169
2012,1,6,6,0.890996293
2012,1,6,7,1.001243764
2012,1,6,8,1.023375227
2012,1,6,9,1.023785069
2012,1,6,10,1.034440958
2012,1,6,11,1.019686649
2012,1,6,12,0.997965029
2012,1,6,13,0.988538665
2012,1,6,14,0.972964673
2012,1,6,15,0.965587519
2012,1,6,16,0.957390681
2012,1,6,17,0.960669416
2012,1,6,18,0.97460404
2012,1,6,19,1.040588586
2012,1,6,20,1.052474002
2012,1,6,21,1.030752381
2012,1,6,22,0.996735503
2012,1,6,23,0.94427574
2012,1,6,24,0.891406135
2012,1,7,1,0.830339691
2012,1,7,2,0.800831074
2012,1,7,3,0.781978347
2012,1,7,4,0.763535461
2012,1,7,5,0.785257082
2012,1,7,6,0.821733011
2012,1,7,7,0.86681562
2012,1,7,8,0.891815976
2012,1,7,9,0.95083321
2012,1,7,10,0.963538309
2012,1,7,11,0.947964317
2012,1,7,12,0.917226174
2012,1,7,13,0.906570285
2012,1,7,14,0.870914039
2012,1,7,15,0.855749889
2012,1,7,16,0.834028268
2012,1,7,17,0.834028268
2012,1,7,18,0.841815264
2012,1,7,19,0.931980483
2012,1,7,20,0.947554475
2012,1,7,21,0.929111589
2012,1,7,22,0.904521075
2012,1,7,23,0.872143565
2012,1,7,24,0.827060956
2012,1,8,1,0.793863762
2012,1,8,2,0.764355145
2012,1,8,3,0.753699256
2012,1,8,4,0.743043366
2012,1,8,5,0.76312562
2012,1,8,6,0.792224394
2012,1,8,7,0.834847952
2012,1,8,8,0.874602617
2012,1,8,9,0.917636016
2012,1,8,10,0.94222653
2012,1,8,11,0.914357281
2012,1,8,12,0.859028624
2012,1,8,13,0.844274316
2012,1,8,14,0.81066728
2012,1,8,15,0.797142497
2012,1,8,16,0.800831074
2012,1,8,17,0.804519652
2012,1,8,18,0.822552695
2012,1,8,19,0.913537597
2012,1,8,20,0.947964317
2012,1,8,21,0.95288242
2012,1,8,22,0.929521431
2012,1,8,23,0.871733723
2012,1,8,24,0.794683446
2012,1,9,1,0.744272892
2012,1,9,2,0.717223327
2012,1,9,3,0.700829651
2012,1,9,4,0.69632139
2012,1,9,5,0.722141429
2012,1,9,6,0.805339335
2012,1,9,7,0.920914751
2012,1,9,8,0.945095424
2012,1,9,9,0.956161155
2012,1,9,10,0.926652538
2012,1,9,11,0.911488388
2012,1,9,12,0.898783289
2012,1,9,13,0.898373447
2012,1,9,14,0.87747151
2012,1,9,15,0.870504198
2012,1,9,16,0.858618782
2012,1,9,17,0.863127043
2012,1,9,18,0.880340403
2012,1,9,19,0.968866254
2012,1,9,20,1.001653606
2012,1,9,21,0.997555187
2012,1,9,22,0.951243052
2012,1,9,23,0.883209296
2012,1,9,24,0.783617715
2012,1,10,1,0.757387833
2012,1,10,2,0.730748109
2012,1,10,3,0.720502062
2012,1,10,4,0.709846172
2012,1,10,5,0.742223683
2012,1,10,6,0.820093644
2012,1,10,7,0.943865898
2012,1,10,8,0.972554831
2012,1,10,9,0.966817044
2012,1,10,10,0.938128111
2012,1,10,11,0.922963961
2012,1,10,12,0.917636016
2012,1,10,13,0.914767123
2012,1,10,14,0.900012814
2012,1,10,15,0.907389969
2012,1,10,16,0.897963605
2012,1,10,17,0.908209652
2012,1,10,18,0.934029692
2012,1,10,19,1.031981907
2012,1,10,20,1.059441314
2012,1,10,21,1.050424792
2012,1,10,22,1.001653606
2012,1,10,23,0.934849376
2012,1,10,24,0.841405423
2012,1,11,1,0.795912972
2012,1,11,2,0.76968309
2012,1,11,3,0.760256726
2012,1,11,4,0.750010679
2012,1,11,5,0.780338979
2012,1,11,6,0.863127043
2012,1,11,7,0.986489456
2012,1,11,8,1.01558823
2012,1,11,9,1.00042408
2012,1,11,10,0.952472578
2012,1,11,11,0.927882064
2012,1,11,12,0.913947439
2012,1,11,13,0.909029336
2012,1,11,14,0.90329155
2012,1,11,15,0.902881708
2012,1,11,16,0.904521075
2012,1,11,17,0.908619494
2012,1,11,18,0.934029692
2012,1,11,19,1.008620918
2012,1,11,20,1.02419491
2012,1,11,21,1.008211076
2012,1,11,22,0.960669416
2012,1,11,23,0.893455344
2012,1,11,24,0.803290126
2012,1,12,1,0.732797319
2012,1,12,2,0.708616647
2012,1,12,3,0.702059176
2012,1,12,4,0.694682022
2012,1,12,5,0.724190639
2012,1,12,6,0.80410981
2012,1,12,7,0.924193487
2012,1,12,8,0.950423368
2012,1,12,9,0.952472578
2012,1,12,10,0.929521431
2012,1,12,11,0.915176965
2012,1,12,12,0.917226174
2012,1,12,13,0.928291906
2012,1,12,14,0.9184557
2012,1,12,15,0.94222653
2012,1,12,16,0.940587163
2012,1,12,17,0.954111945
2012,1,12,18,0.972144989
2012,1,12,19,1.0651791
2012,1,12,20,1.077474358
2012,1,12,21,1.06722831
2012,1,12,22,1.027473646
2012,1,12,23,0.961898941
2012,1,12,24,0.890586451
2012,1,13,1,0.858208941
2012,1,13,2,0.828290482
2012,1,13,3,0.813126331
2012,1,13,4,0.814765699
2012,1,13,5,0.849192419
2012,1,13,6,0.927472222
2012,1,13,7,1.057392104
2012,1,13,8,1.076244832
2012,1,13,9,1.071326729
2012,1,13,10,1.072556255
2012,1,13,11,1.059441314
2012,1,13,12,1.038539377
2012,1,13,13,1.029932697
2012,1,13,14,1.01558823
2012,1,13,15,1.01107997
2012,1,13,16,1.002063448
2012,1,13,17,1.004522499
2012,1,13,18,1.013129179
2012,1,13,19,1.07583499
2012,1,13,20,1.095917243
2012,1,13,21,1.072146413
2012,1,13,22,1.036080326
2012,1,13,23,0.979522143
2012,1,13,24,0.931160799
2012,1,14,1,0.850421944
2012,1,14,2,0.824601905
2012,1,14,3,0.807388545
2012,1,14,4,0.790175185
2012,1,14,5,0.813946015
2012,1,14,6,0.852880996
2012,1,14,7,0.906160443
2012,1,14,8,0.935259218
2012,1,14,9,1.001653606
2012,1,14,10,1.002883132
2012,1,14,11,0.980751669
2012,1,14,12,0.937718269
2012,1,14,13,0.9184557
2012,1,14,14,0.880340403
2012,1,14,15,0.863127043
2012,1,14,16,0.839356213
2012,1,14,17,0.840585739
2012,1,14,18,0.847143209
2012,1,14,19,0.936488744
2012,1,14,20,0.954931629
2012,1,14,21,0.938128111
2012,1,14,22,0.915586807
2012,1,14,23,0.880750245
2012,1,14,24,0.837307004
2012,1,15,1,0.813536173
2012,1,15,2,0.787716134
2012,1,15,3,0.778699612
2012,1,15,4,0.76968309
2012,1,15,5,0.790994869
2012,1,15,6,0.820913328
2012,1,15,7,0.865586095
2012,1,15,8,0.906980127
2012,1,15,9,0.950013526
2012,1,15,10,0.963948151
2012,1,15,11,0.923373803
2012,1,15,12,0.856159731
2012,1,15,13,0.834028268
2012,1,15,14,0.797552339
2012,1,15,15,0.780748821
2012,1,15,16,0.78484724
2012,1,15,17,0.788945659
2012,1,15,18,0.806978703
2012,1,15,19,0.897143921
2012,1,15,20,0.936078902
2012,1,15,21,0.94222653
2012,1,15,22,0.918045858
2012,1,15,23,0.858208941
2012,1,15,24,0.779929137
2012,1,16,1,0.730338267
2012,1,16,2,0.706977279
2012,1,16,3,0.691403287
2012,1,16,4,0.688534394
2012,1,16,5,0.715583959
2012,1,16,6,0.801650758
2012,1,16,7,0.929931273
2012,1,16,8,0.957800522
2012,1,16,9,0.958210364
2012,1,16,10,0.915586807
2012,1,16,11,0.895504554
2012,1,16,12,0.878701036
2012,1,16,13,0.873782933
2012,1,16,14,0.858208941
2012,1,16,15,0.849602261
2012,1,16,16,0.840175897
2012,1,16,17,0.844684158
2012,1,16,18,0.857389257
2012,1,16,19,0.935259218
2012,1,16,20,0.971325305
2012,1,16,21,0.964767835
2012,1,16,22,0.918865542
2012,1,16,23,0.851241628
2012,1,16,24,0.749600837
2012,1,17,1,0.718452852
2012,1,17,2,0.691403287
2012,1,17,3,0.681976923
2012,1,17,4,0.673370243
2012,1,17,5,0.703698544
2012,1,17,6,0.782388189
2012,1,17,7,0.909439178
2012,1,17,8,0.940177321
2012,1,17,9,0.93361985
2012,1,17,10,0.910668704
2012,1,17,11,0.893865186
2012,1,17,12,0.890586451
2012,1,17,13,0.893865186
2012,1,17,14,0.887307715
2012,1,17,15,0.90124234
2012,1,17,16,0.895914395
2012,1,17,17,0.911488388
2012,1,17,18,0.92706238
2012,1,17,19,1.011899653
2012,1,17,20,1.039359061
2012,1,17,21,1.030752381
2012,1,17,22,0.984030404
2012,1,17,23,0.916816332
2012,1,17,24,0.828290482
2012,1,18,1,0.791404711
2012,1,18,2,0.76763388
2012,1,18,3,0.756977991
2012,1,18,4,0.750830362
2012,1,18,5,0.783207873
2012,1,18,6,0.865995937
2012,1,18,7,0.999604396
2012,1,18,8,1.028703171
2012,1,18,9,1.015178389
2012,1,18,10,0.966407202
2012,1,18,11,0.939767479
2012,1,18,12,0.919275384
2012,1,18,13,0.906980127
2012,1,18,14,0.898373447
2012,1,18,15,0.892225818
2012,1,18,16,0.891406135
2012,1,18,17,0.895504554
2012,1,18,18,0.92501317
2012,1,18,19,0.998784713
2012,1,18,20,1.028703171
2012,1,18,21,1.014768547
2012,1,18,22,0.973374515
2012,1,18,23,0.908209652
2012,1,18,24,0.815175541
2012,1,19,1,0.751650046
2012,1,19,2,0.724600481
2012,1,19,3,0.71353475
2012,1,19,4,0.708206805
2012,1,19,5,0.736485896
2012,1,19,6,0.813126331
2012,1,19,7,0.935259218
2012,1,19,8,0.960259574
2012,1,19,9,0.954931629
2012,1,19,10,0.931570641
2012,1,19,11,0.915176965
2012,1,19,12,0.906160443
2012,1,19,13,0.909439178
2012,1,19,14,0.902881708
2012,1,19,15,0.91189823
2012,1,19,16,0.912717913
2012,1,19,17,0.921734435
2012,1,19,18,0.942636372
2012,1,19,19,1.021326017
2012,1,19,20,1.049195266
2012,1,19,21,1.039359061
2012,1,19,22,0.996325661
2012,1,19,23,0.930750957
2012,1,19,24,0.852061312
2012,1,20,1,0.823782221
2012,1,20,2,0.795093288
2012,1,20,3,0.781158663
2012,1,20,4,0.783207873
2012,1,20,5,0.816814909
2012,1,20,6,0.895914395
2012,1,20,7,1.028703171
2012,1,20,8,1.054113369
2012,1,20,9,1.036490167
2012,1,20,10,1.020506333
2012,1,20,11,0.999604396
2012,1,20,12,0.967636728
2012,1,20,13,0.949603684
2012,1,20,14,0.934439534
2012,1,20,15,0.921734435
