Year,Month,Day,Period,1
2012,1,1,1,0.985278985
2012,1,1,2,0.977078089
2012,1,1,3,0.981764315
2012,1,1,4,0.994651436
2012,1,1,5,1.015739453
2012,1,1,6,1.054400816
2012,1,1,7,1.104777744
2012,1,1,8,1.161012454
2012,1,1,9,1.200845374
2012,1,1,10,1.166870236
2012,1,1,11,1.10946397
2012,1,1,12,1.036827469
2012,1,1,13,0.981764315
2012,1,1,14,0.93724517
2012,1,1,15,0.898583807
2012,1,1,16,0.882182016
2012,1,1,17,0.872809564
2012,1,1,18,0.930215831
2012,1,1,19,1.039170582
2012,1,1,20,1.075488832
2012,1,1,21,1.075488832
2012,1,1,22,1.073145719
2012,1,1,23,1.04971459
2012,1,1,24,0.995822993
2012,1,2,1,0.920843379
2012,1,2,2,0.916157153
2012,1,2,3,0.925529605
2012,1,2,4,0.943102952
2012,1,2,5,0.974734977
2012,1,2,6,1.064944824
2012,1,2,7,1.18210047
2012,1,2,8,1.244192963
2012,1,2,9,1.220761834
2012,1,2,10,1.168041793
2012,1,2,11,1.148125333
2012,1,2,12,1.095405292
2012,1,2,13,1.05322926
2012,1,2,14,1.022768792
2012,1,2,15,0.992308324
2012,1,2,16,0.980592759
2012,1,2,17,1.004023888
2012,1,2,18,1.042685251
2012,1,2,19,1.142267551
2012,1,2,20,1.163355567
2012,1,2,21,1.151640002
2012,1,2,22,1.127037317
2012,1,2,23,1.055572372
2012,1,2,24,0.988793654
2012,1,3,1,0.939588283
2012,1,3,2,0.939588283
2012,1,3,3,0.947789178
2012,1,3,4,0.967705638
2012,1,3,5,1.008710114
2012,1,3,6,1.088375953
2012,1,3,7,1.200845374
2012,1,3,8,1.269967205
2012,1,3,9,1.230134285
2012,1,3,10,1.176242688
2012,1,3,11,1.138752881
2012,1,3,12,1.083689728
2012,1,3,13,1.026283461
2012,1,3,14,0.965362525
2012,1,3,15,0.932558944
2012,1,3,16,0.911470928
2012,1,3,17,0.914985597
2012,1,3,18,0.978249646
2012,1,3,19,1.097748405
2012,1,3,20,1.123522647
2012,1,3,21,1.121179534
2012,1,3,22,1.096576849
2012,1,3,23,1.052057703
2012,1,3,24,0.986450541
2012,1,4,1,0.944274509
2012,1,4,2,0.947789178
2012,1,4,3,0.95716163
2012,1,4,4,0.989965211
2012,1,4,5,1.035655913
2012,1,4,6,1.115321752
2012,1,4,7,1.230134285
2012,1,4,8,1.30159923
2012,1,4,9,1.252393858
2012,1,4,10,1.190301366
2012,1,4,11,1.142267551
2012,1,4,12,1.082518171
2012,1,4,13,1.032141243
2012,1,4,14,0.986450541
2012,1,4,15,0.954818517
2012,1,4,16,0.946617621
2012,1,4,17,0.958333186
2012,1,4,18,0.998166106
2012,1,4,19,1.094233736
2012,1,4,20,1.104777744
2012,1,4,21,1.100091518
2012,1,4,22,1.071974163
2012,1,4,23,1.021597235
