name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Abbott TP 3 (1),1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Abbott TP 3 (2),1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
Austin (1),8,8,8,8,8,8,8,8,8,8,8,8
Austin (2),9,9,9,9,9,9,9,9,9,9,9,9
Buchanan Dam (TX) (1),16,16,16,16,16,16,16,16,16,16,16,16
Buchanan Dam (TX) (2),16,16,16,16,16,16,16,16,16,16,16,16
Buchanan Dam (TX) (3),17,17,17,17,17,17,17,17,17,17,17,17
Buffalo Gap 2 Wind Farm,232.5,232.5,232.5,232.5,232.5,232.5,232.5,232.5,232.5,232.5,232.5,232.5
Canyon (1),3,3,3,3,3,3,3,3,3,3,3,3
Canyon (2),3,3,3,3,3,3,3,3,3,3,3,3
Decker Creek (1),320,319.68,319.04,318.4,316.8,315.52,313.6,313.6,315.52,318.72,319.68,320
Decker Creek (2),428,427.572,426.716,425.86,423.72,422.008,419.44,419.44,422.008,426.288,427.572,428
Decker Creek (GT1),54,53.703,53.109,52.515,51.03,49.842,48.06,48.06,49.842,52.812,53.703,54
Decker Creek (GT2),54,53.703,53.109,52.515,51.03,49.842,48.06,48.06,49.842,52.812,53.703,54
Decker Creek (GT3),54,53.703,53.109,52.515,51.03,49.842,48.06,48.06,49.842,52.812,53.703,54
Decker Creek (GT4),54,53.703,53.109,52.515,51.03,49.842,48.06,48.06,49.842,52.812,53.703,54
Domain Integrated Energy System,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
Dunlap TP 1 (1),1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Dunlap TP 1 (2),1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Fayette Power Project (1),603,603,603,603,603,603,603,603,603,603,603,603
Fayette Power Project (2),605,604.6975,604.0925,603.4875,601.975,600.765,598.95,598.95,600.765,603.79,604.6975,605
Fayette Power Project (3),449,448.3265,446.9795,445.6325,442.265,439.571,435.53,435.53,439.571,446.306,448.3265,449
H 4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
H 5,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Inks,14,14,14,14,14,14,14,14,14,14,14,14
Lamesa Solar,101.6,101.6,101.6,101.6,101.6,101.6,101.6,101.6,101.6,101.6,101.6,101.6
Lost Pines 1 Power Project (CTA),183,182.3595,181.0785,179.7975,176.595,174.033,170.19,170.19,174.033,180.438,182.3595,183
Lost Pines 1 Power Project (CTB),183,182.3595,181.0785,179.7975,176.595,174.033,170.19,170.19,174.033,180.438,182.3595,183
Lost Pines 1 Power Project (ST),192,191.808,191.424,191.04,190.08,189.312,188.16,188.16,189.312,191.232,191.808,192
Marble Falls (1),21,21,21,21,21,21,21,21,21,21,21,21
Marble Falls (2),20,20,20,20,20,20,20,20,20,20,20,20
Marshall Ford (1),36,36,36,36,36,36,36,36,36,36,36,36
Marshall Ford (2),36,36,36,36,36,36,36,36,36,36,36,36
Marshall Ford (3),29,29,29,29,29,29,29,29,29,29,29,29
Mesquite Creek LFGTE Project (GEN1),1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Mesquite Creek LFGTE Project (GEN2),1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Rabbit Hill Energy Storage Project,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9
Rio Nogales Power Project (CTG1),175,173.95,171.85,169.75,164.5,160.3,154,154,160.3,170.8,173.95,175
Rio Nogales Power Project (CTG2),175,173.95,171.85,169.75,164.5,160.3,154,154,160.3,170.8,173.95,175
Rio Nogales Power Project (CTG3),175,173.95,171.85,169.75,164.5,160.3,154,154,160.3,170.8,173.95,175
Rio Nogales Power Project (STG1),323,323,323,323,323,323,323,323,323,323,323,323
Robert Mueller Energy Center (CT1),1.4,1.386,1.358,1.33,1.26,1.204,1.12,1.12,1.204,1.344,1.386,1.4
Robert Mueller Energy Center (DG1),1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Sand Hill (5A),170,168.98,166.94,164.9,159.8,155.72,149.6,149.6,155.72,165.92,168.98,170
Sand Hill (5C),160,159.28,157.84,156.4,152.8,149.92,145.6,145.6,149.92,157.12,159.28,160
Sand Hill (SH1),48,47.952,47.856,47.76,47.52,47.328,47.04,47.04,47.328,47.808,47.952,48
Sand Hill (SH2),48,47.952,47.856,47.76,47.52,47.328,47.04,47.04,47.328,47.808,47.952,48
Sand Hill (SH3),48,47.952,47.856,47.76,47.52,47.328,47.04,47.04,47.328,47.808,47.952,48
Sand Hill (SH4),48,47.952,47.856,47.76,47.52,47.328,47.04,47.04,47.328,47.808,47.952,48
Sand Hill (SH6),48,47.952,47.856,47.76,47.52,47.328,47.04,47.04,47.328,47.808,47.952,48
Sand Hill (SH7),48,47.952,47.856,47.76,47.52,47.328,47.04,47.04,47.328,47.808,47.952,48
Sim Gideon (1),130,130,130,130,130,130,130,130,130,130,130,130
Sim Gideon (2),135,135,135,135,135,135,135,135,135,135,135,135
Sim Gideon (3),340,339.83,339.49,339.15,338.3,337.62,336.6,336.6,337.62,339.32,339.83,340
Thomas C Ferguson (1),420,416.43,409.29,402.15,384.3,370.02,348.6,348.6,370.02,405.72,416.43,420
