Year,Month,WAT,WND,SUN,GST,UR,REF,OT,PS,CCLI,CCLII,CCLIII,CCLIV,CCLV,CCFN,DMDRSP,FERCPC,CoalAZ,CoalCAN,CoalNV,CoalNM,CoalUT,CoalCO,CoalMT,CoalOWI,CoalWY,CoalCA,CoalECAR,CoalFRCC,CoalPJME,CoalPJMW,CoalMAIN,CoalMAPP,CoalQUE,CoalONT,CoalNE,CoalNYSE,CoalNYUP,CoalSERS,CoalVAC,CoalTVA,CoalENTG,CoalSPP,CoalERCT,CoalWLH,CoalWMM,CoalWSH,FO1WECC,FO2WECC,FO1,FO2,FO3,FO4,FO5,FO6,JF,KER,LNG,LPG,FO1Peak,FO2Peak,FO3Peak,FO4Peak,FO5Peak,FO6Peak,NGHenry,NGAECO,NGOpal,NGSanJua,NGToront,NGChicag,NGNiagara,NGNYC,NGMalin,NGSumas,NGAppa,NGTopock,NGStnfld,NGPG&ECG,NGKG,NGSCalCG,NGSCalEB,NGAlgonCG,NGZ6NY,NGDawn,NGDracut,NGZ6NonNY,NGTETM3,NGMiCoCG,NGDomSP,NGHShChn,NGWaha,NGMidCon,CONSRV,CoalUS,CoalCCA,CoalECA,CoalWCA,LoadControl,NGFGTZ3,NGEGTFlex,NGTransco85,NGTETM1,NGTRZ5NWGL,NGVentura,NGDemarc,NGMillennium,NGLebanon,NGIroquois-Into,SUNTherm
2012,1,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,22.9211,22.9211,22.9211,22.9211,20.9088,20.9088,20.9088,20.9088,17.2634,17.2634,8.1666744,8.1666744,0.66,0.66,0.66,0.66,0.66,0.66,2.67,-0.04,0.0,-0.02,0.2,0.13,0.14,2.38,0.11,0.25,-0.02,0.24,0.1,0.43,0.03,0.33,0.24,2.66,2.38,0.2,2.23,0.65,0.62,0.18,-0.02,-0.02,-0.05,-0.06,0.0,2.35,2.35,2.35,2.35,350.0,0.03,-0.08,0.03,0.03,0.44,0.09,0.09,-0.38,0.07,1.49,0.0
2012,2,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,23.8663,23.8663,23.8663,23.8663,21.12,21.12,21.12,21.12,19.7296,19.7296,7.914038000000001,7.914038000000001,0.66,0.66,0.66,0.66,0.66,0.66,2.51,-0.34,0.01,-0.05,0.21,0.13,0.14,0.63,0.07,0.07,-0.02,0.22,0.03,0.39,-0.05,0.31,0.22,1.07,0.64,0.21,1.01,0.35,0.23,0.19,0.1,-0.08,-0.05,-0.07,0.0,2.35,2.35,2.35,2.35,350.0,0.02,-0.08,0.02,0.01,0.27,0.05,0.05,-0.51,0.1,0.92,0.0
2012,3,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,25.0478,25.0478,25.0478,25.0478,22.176000000000002,22.176000000000002,22.176000000000002,22.176000000000002,22.6442,22.6442,7.603048899999999,7.603048899999999,0.66,0.66,0.66,0.66,0.66,0.66,2.17,-0.31,-0.12,-0.13,0.16,0.04,0.14,0.16,-0.02,-0.01,-0.05,0.12,-0.05,0.34,-0.1,0.22,0.12,0.63,0.17,0.16,0.5,0.12,0.14,0.14,0.01,-0.07,-0.09,-0.13,0.0,2.35,2.35,2.35,2.35,350.0,0.16,-0.12,-0.02,-0.07,0.09,-0.1,-0.09,-0.44,0.01,0.73,0.0
2012,4,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,24.5752,24.5752,24.5752,24.5752,23.0208,23.0208,23.0208,23.0208,26.2314,26.2314,7.4621613,7.4621613,0.66,0.66,0.66,0.66,0.66,0.66,1.95,-0.25,-0.04,-0.1,0.21,0.1,-0.33,0.2,0.02,-0.04,-0.03,0.3,-0.04,0.48,-0.06,0.43,0.3,0.55,0.2,0.21,0.33,0.17,0.18,0.2,0.09,-0.07,-0.04,-0.09,0.0,2.35,2.35,2.35,2.35,350.0,0.27,-0.05,0.02,0.0,0.13,-0.01,-0.01,-0.36,0.08,0.58,0.0
2012,5,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,23.1574,23.1574,23.1574,23.1574,23.0208,23.0208,23.0208,23.0208,24.886200000000002,24.886200000000002,7.7262129,7.7262129,0.66,0.66,0.66,0.66,0.66,0.66,2.43,-0.41,-0.17,-0.18,0.05,0.01,-0.33,0.14,-0.13,-0.21,0.01,0.04,-0.19,0.31,-0.2,0.16,0.04,0.2,0.14,0.05,-0.09,0.08,0.12,0.04,0.01,-0.05,-0.05,-0.11,0.0,2.35,2.35,2.35,2.35,350.0,0.23,-0.07,-0.01,-0.06,0.11,-0.05,-0.06,-0.48,0.01,0.28,0.0
2012,6,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,21.7396,21.7396,21.7396,21.7396,22.387200000000004,22.387200000000004,22.387200000000004,22.387200000000004,23.316800000000004,23.316800000000004,8.0828628,8.0828628,0.66,0.66,0.66,0.66,0.66,0.66,2.46,-0.57,-0.17,-0.14,0.08,0.03,-0.33,0.24,-0.18,-0.29,-0.04,0.15,-0.26,0.34,-0.29,0.27,0.15,1.13,0.24,0.08,3.52,0.14,0.16,0.07,0.0,0.0,-0.03,-0.08,0.0,2.35,2.35,2.35,2.35,350.0,0.3,-0.07,0.01,-0.02,0.11,-0.04,-0.05,-0.91,0.0,0.46,0.0
2012,7,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,21.9759,21.9759,21.9759,21.9759,19.8528,19.8528,19.8528,19.8528,22.6442,22.6442,7.7909491,7.7909491,0.66,0.66,0.66,0.66,0.66,0.66,2.95,-0.93,-0.21,-0.2,0.08,0.06,-0.68,0.23,-0.19,-0.36,-0.04,-0.02,-0.34,0.08,-0.38,0.06,-0.02,0.88,0.23,0.08,1.38,0.2,0.21,0.05,0.01,-0.03,-0.07,-0.1,0.0,2.35,2.35,2.35,2.35,350.0,0.32,-0.07,0.01,-0.01,0.18,0.0,0.0,-1.03,0.02,0.46,0.0
2012,8,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,23.3937,23.3937,23.3937,23.3937,19.8528,19.8528,19.8528,19.8528,22.8684,22.8684,7.1969081,7.1969081,0.66,0.66,0.66,0.66,0.66,0.66,2.84,-0.77,-0.1,-0.11,0.11,0.06,-0.68,0.15,-0.09,-0.23,-0.04,0.11,-0.21,0.18,-0.3,0.21,0.11,0.56,0.15,0.11,0.56,0.16,0.15,0.1,-0.03,-0.01,-0.04,-0.08,0.0,2.35,2.35,2.35,2.35,350.0,0.22,-0.07,-0.01,-0.05,0.11,-0.01,-0.01,-1.19,0.0,0.41,0.0
2012,9,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,24.3389,24.3389,24.3389,24.3389,20.9088,20.9088,20.9088,20.9088,25.110400000000006,25.110400000000006,7.045882,7.045882,0.66,0.66,0.66,0.66,0.66,0.66,2.85,-0.88,-0.08,-0.1,0.12,0.09,-0.37,0.11,-0.06,-0.2,-0.06,0.25,-0.15,0.47,-0.18,0.35,0.25,0.45,0.1,0.12,0.35,-0.03,0.09,0.12,-0.03,-0.01,-0.06,-0.11,0.0,2.35,2.35,2.35,2.35,350.0,0.27,-0.12,-0.01,-0.08,0.1,0.02,0.02,-1.49,0.01,0.43,0.0
2012,10,0.0,0.0,0.0,1.98,0.51,1.32,0.05,0.0,47.46,63.29,79.11,105.48,210.96,527.42,-3.97,0.0,1.93,1.97,1.61,1.93,1.61,1.61,1.36,1.97,1.36,1.97,1.84,2.93,2.13,2.13,1.84,1.45,1.52,1.73,3.79,2.13,2.13,2.3,2.67,2.03,1.88,1.88,1.88,2.17,0.74,1.44,25.0478,25.0478,25.0478,25.0478,20.6976,20.6976,20.6976,20.6976,26.2314,26.2314,6.9481018,6.9481018,0.66,0.66,0.66,0.66,0.66,0.66,3.32,-0.93,0.03,-0.05,0.18,0.18,-0.37,0.14,0.08,0.04,-0.06,0.22,0.05,0.63,0.0,0.34,0.22,0.4,0.14,0.18,0.4,0.11,0.15,0.17,0.01,-0.08,-0.06,-0.05,0.0,2.35,2.35,2.35,2.35,350.0,0.34,-0.13,-0.01,-0.05,0.11,0.09,0.12,-1.63,0.07,0.47,0.0
