name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Abbott TP 3 (1),0.116808,0.195552,0.37944,0.32472,0.34968,0.31248,0.224688,0.130944,0.08496,0.091512,0.10512,0.14136
Abbott TP 3 (2),0.116808,0.195552,0.37944,0.32472,0.34968,0.31248,0.224688,0.130944,0.08496,0.091512,0.10512,0.14136
Austin (1),0.666624,1.118208,2.166528,1.85472,1.999872,1.7856,1.285632,0.749952,0.48384,0.523776,0.59904,0.809472
Austin (2),0.749952,1.257984,2.437344,2.08656,2.249856,2.0088,1.446336,0.843696,0.54432,0.589248,0.67392,0.910656
Buchanan Dam (TX) (1),1.333248,2.236416,4.333056,3.70944,3.999744,3.5712,2.571264,1.499904,0.96768,1.047552,1.19808,1.618944
Buchanan Dam (TX) (2),1.333248,2.236416,4.333056,3.70944,3.999744,3.5712,2.571264,1.499904,0.96768,1.047552,1.19808,1.618944
Buchanan Dam (TX) (3),1.416576,2.376192,4.603872,3.94128,4.249728,3.7944,2.731968,1.593648,1.02816,1.113024,1.27296,1.720128
Canyon (1),0.249984,0.419328,0.812448,0.69552,0.749952,0.6696,0.482112,0.281232,0.18144,0.196416,0.22464,0.303552
Canyon (2),0.249984,0.419328,0.812448,0.69552,0.749952,0.6696,0.482112,0.281232,0.18144,0.196416,0.22464,0.303552
Dunlap TP 1 (1),0.150288,0.251328,0.48732,0.4176,0.45012,0.40176,0.289416,0.168888,0.10872,0.117552,0.13464,0.18228
Dunlap TP 1 (2),0.150288,0.251328,0.48732,0.4176,0.45012,0.40176,0.289416,0.168888,0.10872,0.117552,0.13464,0.18228
Granite Shoals (1),2.416512,4.053504,7.853664,6.72336,7.249536,6.4728,4.660416,2.718576,1.75392,1.898688,2.17152,2.934336
Granite Shoals (2),2.416512,4.053504,7.853664,6.72336,7.249536,6.4728,4.660416,2.718576,1.75392,1.898688,2.17152,2.934336
H 4,0.200136,0.335328,0.650256,0.55656,0.599664,0.53568,0.385392,0.224688,0.14544,0.156984,0.18,0.242544
H 5,0.200136,0.335328,0.650256,0.55656,0.599664,0.53568,0.385392,0.224688,0.14544,0.156984,0.18,0.242544
Inks,1.166592,1.956864,3.791424,3.24576,3.499776,3.1248,2.249856,1.312416,0.84672,0.916608,1.04832,1.416576
Marble Falls (1),1.749888,2.935296,5.687136,4.86864,5.249664,4.6872,3.374784,1.968624,1.27008,1.374912,1.57248,2.124864
Marble Falls (2),1.66656,2.79552,5.41632,4.6368,4.99968,4.464,3.21408,1.87488,1.2096,1.30944,1.4976,2.02368
Marshall Ford (1),2.999808,5.031936,9.749376,8.34624,8.999424,8.0352,5.785344,3.374784,2.17728,2.356992,2.69568,3.642624
Marshall Ford (2),2.999808,5.031936,9.749376,8.34624,8.999424,8.0352,5.785344,3.374784,2.17728,2.356992,2.69568,3.642624
Marshall Ford (3),2.416512,4.053504,7.853664,6.72336,7.249536,6.4728,4.660416,2.718576,1.75392,1.898688,2.17152,2.934336
Morris Sheppard (1),0.999936,1.677312,3.249792,2.78208,2.999808,2.6784,1.928448,1.124928,0.72576,0.785664,0.89856,1.214208
Morris Sheppard (2),0.999936,1.677312,3.249792,2.78208,2.999808,2.6784,1.928448,1.124928,0.72576,0.785664,0.89856,1.214208
TP 4,0.200136,0.335328,0.650256,0.55656,0.599664,0.53568,0.385392,0.224688,0.14544,0.156984,0.18,0.242544
