name,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Abbott TP 3 (1),100,100,100,100,100,100,100,100,100,100,100,100
Abbott TP 3 (2),100,100,100,100,100,100,100,100,100,100,100,100
Austin (1),100,100,100,100,100,100,100,100,100,100,100,100
Austin (2),100,100,100,100,100,100,100,100,100,100,100,100
Buchanan Dam (TX) (1),100,100,100,100,100,100,100,100,100,100,100,100
Buchanan Dam (TX) (2),100,100,100,100,100,100,100,100,100,100,100,100
Buchanan Dam (TX) (3),100,100,100,100,100,100,100,100,100,100,100,100
Canyon (1),100,100,100,100,100,100,100,100,100,100,100,100
Canyon (2),100,100,100,100,100,100,100,100,100,100,100,100
Decker Creek (1),88.2,85.5,85.1,85.8,85.8,87.4,82.9,82.9,85.1,85.8,85.8,87.4
Decker Creek (2),88.2,85.5,85.1,85.8,85.8,87.4,82.9,82.9,85.1,85.8,85.8,87.4
Decker Creek (GT1),88.2,85.5,85.1,85.8,85.8,87.4,82.9,82.9,85.1,85.8,85.8,87.4
Decker Creek (GT2),88.2,85.5,85.1,85.8,85.8,87.4,82.9,82.9,85.1,85.8,85.8,87.4
Decker Creek (GT3),88.2,85.5,85.1,85.8,85.8,87.4,82.9,82.9,85.1,85.8,85.8,87.4
Decker Creek (GT4),88.2,85.5,85.1,85.8,85.8,87.4,82.9,82.9,85.1,85.8,85.8,87.4
Domain Integrated Energy System,88.2,85.5,85.1,85.8,85.8,87.4,82.9,82.9,85.1,85.8,85.8,87.4
Dunlap TP 1 (1),100,100,100,100,100,100,100,100,100,100,100,100
Dunlap TP 1 (2),100,100,100,100,100,100,100,100,100,100,100,100
Fayette Power Project (1),90,90,90,76.5,76.5,90,90,90,90,81,81,90
Fayette Power Project (2),90,90,90,76.5,76.5,90,90,90,90,81,81,90
Fayette Power Project (3),90,90,90,76.5,76.5,90,90,90,90,81,81,90
H 4,100,100,100,100,100,100,100,100,100,100,100,100
H 5,100,100,100,100,100,100,100,100,100,100,100,100
Inks,100,100,100,100,100,100,100,100,100,100,100,100
