,ParentClass,ParentName,ParentCategory,Collection,ChildClass,ChildName,ChildCategory
1,System,System,-,Generators,Generator,101_3,Coal/Steam
2,System,System,-,Generators,Generator,101_4,Coal/Steam
3,System,System,-,Generators,Generator,101_5,Coal/Steam
4,System,System,-,Generators,Generator,102_3,Coal/Steam
5,System,System,-,Generators,Generator,102_4,Coal/Steam
6,System,System,-,Generators,Generator,115_3,Coal/Steam
7,System,System,-,Generators,Generator,116_1,Coal/Steam
8,System,System,-,Generators,Generator,123_2,Coal/Steam
9,System,System,-,Generators,Generator,123_3,Coal/Steam
10,System,System,-,Generators,Generator,201_3,Coal/Steam
11,System,System,-,Generators,Generator,202_3,Coal/Steam
12,System,System,-,Generators,Generator,202_4,Coal/Steam
13,System,System,-,Generators,Generator,216_1,Coal/Steam
14,System,System,-,Generators,Generator,223_1,Coal/Steam
15,System,System,-,Generators,Generator,223_2,Coal/Steam
16,System,System,-,Generators,Generator,223_3,Coal/Steam
17,System,System,-,Generators,Generator,316_1,Coal/Steam
18,System,System,-,Generators,Generator,316_2,Coal/Steam
19,System,System,-,Generators,Generator,316_3,Coal/Steam
20,System,System,-,Generators,Generator,316_4,Coal/Steam
21,System,System,-,Generators,Generator,122_1,Hydro
22,System,System,-,Generators,Generator,122_2,Hydro
23,System,System,-,Generators,Generator,122_3,Hydro
24,System,System,-,Generators,Generator,122_4,Hydro
25,System,System,-,Generators,Generator,122_5,Hydro
26,System,System,-,Generators,Generator,122_6,Hydro
27,System,System,-,Generators,Generator,201_4,Hydro
28,System,System,-,Generators,Generator,215_1,Hydro
29,System,System,-,Generators,Generator,215_2,Hydro
30,System,System,-,Generators,Generator,215_3,Hydro
31,System,System,-,Generators,Generator,222_1,Hydro
32,System,System,-,Generators,Generator,222_2,Hydro
33,System,System,-,Generators,Generator,222_3,Hydro
34,System,System,-,Generators,Generator,222_4,Hydro
35,System,System,-,Generators,Generator,222_5,Hydro
36,System,System,-,Generators,Generator,222_6,Hydro
37,System,System,-,Generators,Generator,222_7,Hydro
38,System,System,-,Generators,Generator,322_1,Hydro
39,System,System,-,Generators,Generator,322_2,Hydro
40,System,System,-,Generators,Generator,322_3,Hydro
41,System,System,-,Generators,Generator,322_4,Hydro
42,System,System,-,Generators,Generator,107_1,NG/CC
43,System,System,-,Generators,Generator,118_1,NG/CC
44,System,System,-,Generators,Generator,118_2,NG/CC
45,System,System,-,Generators,Generator,213_3,NG/CC
46,System,System,-,Generators,Generator,218_1,NG/CC
47,System,System,-,Generators,Generator,221_1,NG/CC
48,System,System,-,Generators,Generator,313_1,NG/CC
49,System,System,-,Generators,Generator,318_1,NG/CC
50,System,System,-,Generators,Generator,321_1,NG/CC
51,System,System,-,Generators,Generator,323_1,NG/CC
52,System,System,-,Generators,Generator,323_2,NG/CC
53,System,System,-,Generators,Generator,113_1,NG/CT
54,System,System,-,Generators,Generator,113_2,NG/CT
55,System,System,-,Generators,Generator,113_3,NG/CT
56,System,System,-,Generators,Generator,113_4,NG/CT
57,System,System,-,Generators,Generator,113_5,NG/CT
58,System,System,-,Generators,Generator,123_1,NG/CT
59,System,System,-,Generators,Generator,123_4,NG/CT
60,System,System,-,Generators,Generator,123_5,NG/CT
61,System,System,-,Generators,Generator,207_1,NG/CT
62,System,System,-,Generators,Generator,207_2,NG/CT
63,System,System,-,Generators,Generator,213_1,NG/CT
64,System,System,-,Generators,Generator,213_2,NG/CT
65,System,System,-,Generators,Generator,215_4,NG/CT
66,System,System,-,Generators,Generator,215_5,NG/CT
67,System,System,-,Generators,Generator,223_4,NG/CT
68,System,System,-,Generators,Generator,223_5,NG/CT
69,System,System,-,Generators,Generator,223_6,NG/CT
70,System,System,-,Generators,Generator,301_3,NG/CT
71,System,System,-,Generators,Generator,301_4,NG/CT
72,System,System,-,Generators,Generator,302_3,NG/CT
73,System,System,-,Generators,Generator,302_4,NG/CT
74,System,System,-,Generators,Generator,307_1,NG/CT
75,System,System,-,Generators,Generator,307_2,NG/CT
76,System,System,-,Generators,Generator,315_6,NG/CT
77,System,System,-,Generators,Generator,315_7,NG/CT
78,System,System,-,Generators,Generator,315_8,NG/CT
79,System,System,-,Generators,Generator,322_5,NG/CT
80,System,System,-,Generators,Generator,322_6,NG/CT
81,System,System,-,Generators,Generator,121_1,Nuclear
82,System,System,-,Generators,Generator,101_1,Oil/CT
83,System,System,-,Generators,Generator,101_2,Oil/CT
84,System,System,-,Generators,Generator,102_1,Oil/CT
85,System,System,-,Generators,Generator,102_2,Oil/CT
86,System,System,-,Generators,Generator,201_1,Oil/CT
87,System,System,-,Generators,Generator,201_2,Oil/CT
88,System,System,-,Generators,Generator,202_1,Oil/CT
89,System,System,-,Generators,Generator,202_2,Oil/CT
90,System,System,-,Generators,Generator,301_1,Oil/CT
91,System,System,-,Generators,Generator,301_2,Oil/CT
92,System,System,-,Generators,Generator,302_1,Oil/CT
93,System,System,-,Generators,Generator,302_2,Oil/CT
94,System,System,-,Generators,Generator,115_1,Oil/Steam
95,System,System,-,Generators,Generator,115_2,Oil/Steam
96,System,System,-,Generators,Generator,315_1,Oil/Steam
97,System,System,-,Generators,Generator,315_2,Oil/Steam
98,System,System,-,Generators,Generator,315_3,Oil/Steam
99,System,System,-,Generators,Generator,315_4,Oil/Steam
100,System,System,-,Generators,Generator,315_5,Oil/Steam
101,System,System,-,Generators,Generator,101_pv,PV
102,System,System,-,Generators,Generator,101_pv_2,PV
103,System,System,-,Generators,Generator,101_pv_3,PV
104,System,System,-,Generators,Generator,101_pv_4,PV
105,System,System,-,Generators,Generator,102_pv,PV
106,System,System,-,Generators,Generator,102_pv_2,PV
107,System,System,-,Generators,Generator,103_pv,PV
108,System,System,-,Generators,Generator,104_pv,PV
109,System,System,-,Generators,Generator,113_pv,PV
110,System,System,-,Generators,Generator,119_pv,PV
111,System,System,-,Generators,Generator,215_pv,PV
112,System,System,-,Generators,Generator,310_pv,PV
113,System,System,-,Generators,Generator,310_pv_2,PV
114,System,System,-,Generators,Generator,312_pv,PV
115,System,System,-,Generators,Generator,313_pv,PV
116,System,System,-,Generators,Generator,313_pv_2,PV
117,System,System,-,Generators,Generator,314_pv,PV
118,System,System,-,Generators,Generator,314_pv_2,PV
119,System,System,-,Generators,Generator,314_pv_3,PV
120,System,System,-,Generators,Generator,314_pv_4,PV
121,System,System,-,Generators,Generator,319_pv,PV
122,System,System,-,Generators,Generator,320_pv,PV
123,System,System,-,Generators,Generator,324_pv,PV
124,System,System,-,Generators,Generator,324_pv_2,PV
125,System,System,-,Generators,Generator,324_pv_3,PV
126,System,System,-,Generators,Generator,118_rtpv,RTPV
127,System,System,-,Generators,Generator,118_rtpv_10,RTPV
128,System,System,-,Generators,Generator,118_rtpv_2,RTPV
129,System,System,-,Generators,Generator,118_rtpv_3,RTPV
130,System,System,-,Generators,Generator,118_rtpv_4,RTPV
131,System,System,-,Generators,Generator,118_rtpv_5,RTPV
132,System,System,-,Generators,Generator,118_rtpv_6,RTPV
133,System,System,-,Generators,Generator,118_rtpv_7,RTPV
134,System,System,-,Generators,Generator,118_rtpv_8,RTPV
135,System,System,-,Generators,Generator,118_rtpv_9,RTPV
136,System,System,-,Generators,Generator,213_rtpv,RTPV
137,System,System,-,Generators,Generator,308_rtpv,RTPV
138,System,System,-,Generators,Generator,313_rtpv,RTPV
139,System,System,-,Generators,Generator,313_rtpv_10,RTPV
140,System,System,-,Generators,Generator,313_rtpv_11,RTPV
141,System,System,-,Generators,Generator,313_rtpv_12,RTPV
142,System,System,-,Generators,Generator,313_rtpv_13,RTPV
143,System,System,-,Generators,Generator,313_rtpv_2,RTPV
144,System,System,-,Generators,Generator,313_rtpv_3,RTPV
145,System,System,-,Generators,Generator,313_rtpv_4,RTPV
146,System,System,-,Generators,Generator,313_rtpv_5,RTPV
147,System,System,-,Generators,Generator,313_rtpv_6,RTPV
148,System,System,-,Generators,Generator,313_rtpv_7,RTPV
149,System,System,-,Generators,Generator,313_rtpv_8,RTPV
150,System,System,-,Generators,Generator,313_rtpv_9,RTPV
151,System,System,-,Generators,Generator,320_rtpv,RTPV
152,System,System,-,Generators,Generator,320_rtpv_2,RTPV
153,System,System,-,Generators,Generator,320_rtpv_3,RTPV
154,System,System,-,Generators,Generator,320_rtpv_4,RTPV
155,System,System,-,Generators,Generator,320_rtpv_5,RTPV
156,System,System,-,Generators,Generator,320_rtpv_6,RTPV
157,System,System,-,Generators,Generator,122_wind,Wind
158,System,System,-,Generators,Generator,303_wind,Wind
159,System,System,-,Generators,Generator,309_wind,Wind
160,System,System,-,Generators,Generator,317_wind,Wind
161,System,System,-,Fuels,Fuel,Coal/Steam,-
162,System,System,-,Fuels,Fuel,Hydro,-
163,System,System,-,Fuels,Fuel,NG/CC,-
164,System,System,-,Fuels,Fuel,NG/CT,-
165,System,System,-,Fuels,Fuel,Nuclear,-
166,System,System,-,Fuels,Fuel,Oil/CT,-
167,System,System,-,Fuels,Fuel,Oil/Steam,-
168,System,System,-,Fuels,Fuel,PV,-
